ID Producto **,Nombre Producto *,Costo,Activo,Medida Base
ABA145,SALSA MAYONESA EN SOBRE,185,1,UN
ABA146,SALSA SOYA,14740,1,L
ABA147,SALSA TOMATE FRUCCO,18820,1,kg
ABA149,STEVIA,54,1,UN
ABA153,TORONJA DESHIDRATADA,142.85,1,UN
ABA156,VINAGRE,1966,1,L
ABA157,VINAGRE DE VINO,1499,1,kg
FRU003,HABICHUELA,4500,1,kg
FRU010,PULPA FRESA,1630,1,UN
FRU015,PULPA MORA,1642,1,UN
FRU017,ALBAHACA FRESCA,12000,1,kg
FRU019,PLATANO COMINO VERDE,4500,1,kg
FRU024,ZUCCHINI,2800,1,kg
FRU028,AJI PICANTE ROCOTTO,8500,1,kg
FRU030,APIO,1000,1,kg
FRU034,CEBOLLA BLANCA,4000,1,kg
FRU036,CEBOLLA PUERRO,1100,1,kg
FRU041,GUINEO,1622,1,kg
ABA144,SALSA DE TOMATE HEINZ,22450,1,kg
ABA151,TAJIN,95210,1,kg
ABA152,TOMILLO,14000,1,kg
ABA159,VINO SEGU OLLE TINTO,26143,1,L
FRU002,ARVEJA,33000,1,kg
FRU008,CIRUELA,22000,1,kg
FRU013,PULPA MANGO,1642,1,UN
FRU020,SANDIA,2200,1,kg
FRU026,AJI AMARILLO,15000,1,kg
FRU032,CALABACIN,0,1,kg
FRU035,CEBOLLA MORADA,5000,1,kg
FRU037,CEBOLLIN,10000,1,kg
FRU038,CILANTRO,6000,1,kg
FRU039,DURAZNOS,8500,1,kg
FRU043,KIWI,17000,1,kg
FRU044,LECHUGA BATAVIA,3500,1,kg
FRU046,LECHUGA LISA (COGOLLO),26000,1,kg
FRU047,LIMON TAHITI,5500,1,kg
FRU053,MORA,6500,1,kg
FRU055,PEPINO,3200,1,kg
FRU057,PERA,10500,1,kg
FRU061,ESPINACA,3500,1,kg
FRU064,TOMATE DE ARBOL,5800,1,kg
FRU065,TAMARINDO,15000,1,kg
FRU067,TOMATE CHONTO,4800,1,kg
FRU071,UVA ISABELLA,8750,1,kg
FRU074,YUCA,3200,1,kg
FRU075,ZANAHORIA,3300,1,kg
FRU085,CEBOLLA JUNCA,5000,1,kg
FRU090,REMOLACHA,6000,1,kg
POS005,TORTA ROLLO,6000,1,UN
FRU056,PEPINO EUROPEO,0,1,kg
FRU058,PEREJIL CRESPO,20000,1,kg
FRU059,PIMENTON ROJO,2800,1,kg
FRU068,TOMATE PERLA,6500,1,kg
FRU072,UVA NACIONAL,11500,1,kg
FRU073,HIERBABUENA,80000,1,kg
FRU076,ARANDANOS,2100,1,kg
FRU078,MANGO TOMMY,12000,1,kg
FRU081,CHILE SECO GUAGUILLO,238000,1,kg
FRU083,MAZORCA,8000,1,kg
